"Mes","Puerto","Canarias-Cargadas","Canarias-Descargadas","Canarias-Tránsito","Nacional-Cargadas","Nacional-Descargadas","Nacional-Tránsito","UE-Cargadas","UE-Descargadas","UE-Transbordos","UE-Tránsito","Resto-Cargadas","Resto-Descargadas","Resto-Transbordos","Resto-Tránsito"
"2019-02","S/S DE LA GOMERA",6608.94,11835.92,295.3,0,0,0,0,0,0,0,0,0,0,0
"2019-03","LA ESTACA (EL HIERRO)",2039.99,4190.65,0,0,0,0,0,0,0,0,0,0,0,0
"2019-03","LOS CRISTIANOS",30788.14,15487.75,333.4,0,0,0,0,0,0,0,0,0,0,0
"2019-03","S/C DE LA PALMA",10484.16,41634.23,13,20208.21,6074.57,4220.13,68.75,93.44,0,0,0,280.61,0,0
"2019-03","S/C DE TENERIFE",161589.55,79256.1,329.32,86493.96,399183.38,2010.51,10506.84,127561.75,0,107.93,23229.68,12168.09,0,3.67
"2019-03","S/S DE LA GOMERA",7550.47,12777.97,0,0,0,0,0,0,0,0,0,0,0,0
"2019-04","LA ESTACA (EL HIERRO)",1799.56,4441.15,0,0,0,0,0,0,0,0,0,0,0,0
"2019-04","LOS CRISTIANOS",31728.72,13791.83,345.65,0,0,0,0,0,0,0,0,0,0,0
"2019-04","S/C DE LA PALMA",8557.79,36786.69,80,17490.93,4712.75,2280.12,83.41,610.42,0,0,0,29.34,0,0
"2019-04","S/C DE TENERIFE",168503.28,75960.8,307,72829.34,399725.42,1704.63,1886.51,58657.19,0,81.38,13042.71,42209.46,0,0
"2019-04","S/S DE LA GOMERA",7017.5,12584.51,562.4,0,0,0,0,0,0,0,0,0,0,0
"2019-05","LA ESTACA (EL HIERRO)",1937.12,3541.49,0,0,0,0,0,0,0,0,0,0,0,0
"2019-05","LOS CRISTIANOS",32351.61,14730.31,358.39,0,0,0,0,0,0,0,0,0,0,0
"2019-05","S/C DE LA PALMA",9893.97,37020.75,82,21239.2,5693.57,2967.17,48.33,56.7,0,0,0,313.45,0,0
"2019-05","S/C DE TENERIFE",146654.98,81082.63,403.37,77517.97,386668.32,1261.07,1811.24,110757.8,0,20.55,26534.97,18476.75,0,0
"2019-05","S/S DE LA GOMERA",6731.51,13039.3,0,0,0,0,0,0,0,0,0,0,0,0
"2019-06","LA ESTACA (EL HIERRO)",2074.14,4573.91,0,0,0,0,0,0,0,0,0,0,0,0
"2019-06","LOS CRISTIANOS",30464.92,15109.04,224.25,0,0,0,0,0,0,0,0,0,0,0
"2019-06","S/C DE LA PALMA",9289.16,37718.59,0,20244.21,5855.29,2594.24,30.64,886.38,0,6.84,0.6,78.26,0,0
"2019-06","S/C DE TENERIFE",157895.39,75672.78,246.33,63566.53,361851.1,1374.96,12551.5,66719.44,0,61.97,20226.95,12991.15,0,12.51
"2019-06","S/S DE LA GOMERA",6447.73,11380.06,162.6,0,0,0,0,0,0,0,0,0,0,0
"2019-07","LA ESTACA (EL HIERRO)",2442.05,4381.41,0,0,0,0,0,0,0,0,0,0,0,0
"2019-07","LOS CRISTIANOS",35922.16,16148.63,500.31,0,0,0,0,0,0,0,0,0,0,0
"2019-07","S/C DE LA PALMA",10660.7,36383.71,0,18259.19,4944.67,1824.09,15.14,58.77,0,0,0,14.38,0,0
"2019-07","S/C DE TENERIFE",166661.26,86572.46,815.93,67402.8,365680.76,9613.99,2877.59,127488.11,0,313.19,27211.94,10346.94,0,0
"2019-07","S/S DE LA GOMERA",6605.55,12463.32,561.73,0,0,0,0,0,0,0,0,0,0,0
"2019-08","LA ESTACA (EL HIERRO)",2010.74,4145.9,0,0,0,0,0,0,0,0,0,0,0,0
"2019-08","LOS CRISTIANOS",33134.07,15166.78,312.45,0,0,0,0,0,0,0,0,0,0,0
"2019-08","S/C DE LA PALMA",10395.77,42623.29,46,19475.07,5011.87,2689.15,30.88,41.64,0,0,0,439.25,0,0
"2019-08","S/C DE TENERIFE",187483.66,82087.91,381.2,71016.79,357583.38,1513,1124.53,125819.74,0,28.81,26130.26,27513.51,0,0
"2019-08","S/S DE LA GOMERA",6504.54,13436.25,1136.99,0,0,0,0,0,0,0,0,0,0,0
"2019-09","LA ESTACA (EL HIERRO)",2186.36,3746.35,0,0,0,0,0,0,0,0,0,0,0,0
"2019-09","LOS CRISTIANOS",31912.67,13657.62,398.4,0,0,0,0,0,0,0,0,0,0,0
"2019-09","S/C DE LA PALMA",9149.97,35862.41,0,16136.02,4902.02,2718.5,81.7,31.87,0,0,0,424.35,0,0
"2019-09","S/C DE TENERIFE",169818.45,76467.74,407.9,81335.95,337140.22,1392.51,11033.48,92097.85,0,50.21,37410.4,50399.92,1049.48,23554.95
"2019-09","S/S DE LA GOMERA",5550.2,11054.27,585.2,0,0,0,0,0,0,0,0,0,0,0
"2019-10","LA ESTACA (EL HIERRO)",2408.27,4741.56,0,0,0,0,0,0,0,0,0,0,0,0
"2019-10","LOS CRISTIANOS",34854.19,15118.28,442.9,0,0,0,0,0,0,0,0,0,0,0
"2019-10","S/C DE LA PALMA",9889.52,39537.39,0,17159.18,4564.31,2581.22,25.4,41.06,0,0,0,454.97,0,0
"2019-10","S/C DE TENERIFE",194431.97,88261.68,401.4,73954.67,398782.96,1339.44,4678.4,96802.59,0,37.57,15535,11497.32,1916.34,36404.01
"2019-10","S/S DE LA GOMERA",6482.16,13653.82,253.3,0,0,0,0,0,0,0,0,0,0,0
"2019-11","LA ESTACA (EL HIERRO)",2217.73,4322.25,0,0,0,0,0,0,0,0,0,0,0,0
"2019-11","LOS CRISTIANOS",33915.75,15389.9,280.4,0,0,0,0,0,0,0,0,0,0,0
"2019-11","S/C DE LA PALMA",10383.38,38695.91,0,17757.42,5090.38,2859.56,0,148.49,0,0,0,233.33,0,0
"2019-11","S/C DE TENERIFE",185674.11,81099.34,436.47,76639.04,324858.19,1059.6,1971.61,117984.51,357.45,114.51,51586.4,70544.57,2953.4,30794.98
"2019-11","S/S DE LA GOMERA",6944.62,14518.24,130.8,0,0,0,0,0,0,0,0,0,0,0
"2019-12","LA ESTACA (EL HIERRO)",1975.47,3893.76,0,0,0,0,0,0,0,0,0,0,0,0
"2019-12","LOS CRISTIANOS",32142.86,13793.34,277.11,0,0,0,0,0,0,0,0,0,0,0
"2019-12","S/C DE LA PALMA",9148.61,38423.27,0,15116.59,4892.61,2051.31,3.18,78.08,0,14.13,0,21.44,0,0
"2019-12","S/C DE TENERIFE",191516.41,82567.82,485.63,90421.96,424152.09,1349.84,1135.99,126504.67,0,64.6,80143.78,12020.22,35736.98,65448.3
"2019-12","S/S DE LA GOMERA",5783.94,11474.48,239.4,0,0,0,0,0,0,0,0,0,0,0
"2020-01","LA ESTACA (EL HIERRO)",2177.53,4687.89,0,0,0,0,0,0,0,0,0,0,0,0
"2020-01","LOS CRISTIANOS",34687.09,14362.34,305,0,0,0,0,0,0,0,0,0,0,0
"2020-01","S/C DE LA PALMA",9987.4,43105.48,0,18792.83,3289.51,2790.84,55.84,75.73,0,0,0.41,69.17,0,0
"2020-01","S/C DE TENERIFE",176492.15,79854.03,388.43,83113.43,334803.81,1468.51,3002.56,142605.01,0,100.23,38736.09,13322.93,0,41768.5
"2020-01","S/S DE LA GOMERA",6477.41,13668.92,248.8,0,0,0,0,0,0,0,0,0,0,0
"2020-02","LA ESTACA (EL HIERRO)",2050.17,4171.16,0,0,0,0,0,0,0,0,0,0,0,0
"2020-02","LOS CRISTIANOS",30913.14,14393.58,226.75,0,0,0,0,0,0,0,0,0,0,0
"2020-02","S/C DE LA PALMA",9169.1,37293.84,0,17145.03,6400.01,5131.38,36.4,171.47,0,0,0,107.7,0,0
"2020-02","S/C DE TENERIFE",134377.51,72410.26,234.5,75095.76,451002.73,1057.57,1974.06,31854.98,0,56.48,22449.32,11159.62,0,29590.26
"2020-02","S/S DE LA GOMERA",6345.88,11379.01,56.8,0,0,0,0,0,0,0,0,0,0,0
"2020-03","LA ESTACA (EL HIERRO)",2344.57,4090.02,0,0,0,0,0,0,0,0,0,0,0,0
"2020-03","LOS CRISTIANOS",34146.31,14712.63,277,0,0,0,0,0,0,0,0,0,0,0
"2020-03","S/C DE LA PALMA",10758.81,36871.49,0,17833.54,3785.15,4904.17,74.94,37.92,0,0,0,525.43,0,0
"2020-03","S/C DE TENERIFE",163273.49,73388.7,250.5,80916.99,418091.16,1229.13,3342.93,21649.69,0,22.74,37091.12,14196.21,0,37231.22
"2020-03","S/S DE LA GOMERA",5753.15,12736.24,2,0,0,0,0,0,0,0,0,0,0,0
"2020-04","LA ESTACA (EL HIERRO)",1826.74,3904.44,0,0,0,0,0,0,0,0,0,0,0,0
"2020-04","LOS CRISTIANOS",26596.42,12025.21,202,0,0,0,0,0,0,0,0,0,0,0
"2020-04","S/C DE LA PALMA",8255.24,31182.85,0,20067.05,3790.81,113.91,21.4,51.89,0,0,0,11.95,0,0
"2020-04","S/C DE TENERIFE",73327.37,51992.5,258.82,64324.07,276674.44,783.15,2137.94,27487.99,0,247.18,38341.74,151702.98,0,85121.49
"2020-04","S/S DE LA GOMERA",3966.99,9287.28,44,0,0,0,0,0,0,0,0,0,0,0
"2020-05","LA ESTACA (EL HIERRO)",2379.25,4217.75,0,0,0,0,0,0,0,0,0,0,0,0
"2020-05","LOS CRISTIANOS",22874.63,12106.04,76.17,0,0,0,0,0,0,0,0,0,0,0
"2020-05","S/C DE LA PALMA",10196.66,35184.49,0,22460.84,6808.51,0,0,34.71,0,0,0,0,0,0
"2020-05","S/C DE TENERIFE",105562.2,61395.68,1447.71,55789.63,243012.48,4977.71,550.05,36394.56,0,58.37,22452.05,9813.11,0,27853.14
"2020-05","S/S DE LA GOMERA",5192.93,8793.05,0,0,0,0,0,0,0,0,0,0,0,0
"2020-06","LA ESTACA (EL HIERRO)",2183.33,4478.69,0,0,0,0,0,0,0,0,0,0,0,0
"2020-06","LOS CRISTIANOS",29637.36,14164.05,228,0,0,0,0,0,0,0,0,0,0,0
"2020-06","S/C DE LA PALMA",10107.14,35938.28,0,19203.5,5629.25,0,97.44,871.79,0,0,0,0,0,0
"2020-06","S/C DE TENERIFE",117882.44,68217.23,323.76,58143.75,309823.31,5717.69,1463.8,40268.65,0,22.77,43535.13,11795.35,0,675.5
"2020-06","S/S DE LA GOMERA",4657.94,10603.43,128.4,0,0,0,0,0,0,0,0,0,0,0
"2020-07","LA ESTACA (EL HIERRO)",2514.67,5052.03,0,0,0,0,0,0,0,0,0,0,0,0
"2020-07","LOS CRISTIANOS",35958.93,16651.18,374.67,0,0,0,0,0,0,0,0,0,0,0
"2020-07","S/C DE LA PALMA",11543.75,39347.47,0,20051.35,5629.9,0,70.97,68.49,0,0,0,50.83,0,0
"2020-07","S/C DE TENERIFE",107085.36,74259.22,436.07,63474.4,306751.75,5582.56,1542.47,58040.9,0,449.89,32779.83,14068.55,0,29483.46
"2020-07","S/S DE LA GOMERA",5621.66,12468.03,97.14,0,0,0,0,0,0,0,0,0,0,0
"2020-08","LA ESTACA (EL HIERRO)",2479.56,4763.47,0,0,0,0,0,0,0,0,0,0,0,0
"2020-08","LOS CRISTIANOS",33945.53,15725.48,342.46,0,0,0,0,0,0,0,0,0,0,0
